"","electrode","chanNo","theta","radius","radianTheta","x","y","amplitude","Times"
"1948","P8",23,-126.09,0.52808,-2.20068565383965,0.426737596055039,-0.311068337368441,2.4682,404.3
"1949","P8",23,-126.09,0.52808,-2.20068565383965,0.426737596055039,-0.311068337368441,2.6321,588.87
"1950","P8",23,-126.09,0.52808,-2.20068565383965,0.426737596055039,-0.311068337368441,2.8012,198.24
"1951","P8",23,-126.09,0.52808,-2.20068565383965,0.426737596055039,-0.311068337368441,2.7545,-45.898
"1952","P8",23,-126.09,0.52808,-2.20068565383965,0.426737596055039,-0.311068337368441,3.6925,468.75
"1953","P8",23,-126.09,0.52808,-2.20068565383965,0.426737596055039,-0.311068337368441,3.042,127.93
"1954","P8",23,-126.09,0.52808,-2.20068565383965,0.426737596055039,-0.311068337368441,2.6501,-89.844
"1955","P8",23,-126.09,0.52808,-2.20068565383965,0.426737596055039,-0.311068337368441,2.9388,12.695
"1956","P8",23,-126.09,0.52808,-2.20068565383965,0.426737596055039,-0.311068337368441,3.1626,152.34
"1957","P8",23,-126.09,0.52808,-2.20068565383965,0.426737596055039,-0.311068337368441,2.9062,333.98
"1958","P8",23,-126.09,0.52808,-2.20068565383965,0.426737596055039,-0.311068337368441,2.6972,-122.07
"1959","P8",23,-126.09,0.52808,-2.20068565383965,0.426737596055039,-0.311068337368441,2.7706,-23.438
"1960","P8",23,-126.09,0.52808,-2.20068565383965,0.426737596055039,-0.311068337368441,2.7669,527.34
"1961","P8",23,-126.09,0.52808,-2.20068565383965,0.426737596055039,-0.311068337368441,3.1146,561.52
"1962","P8",23,-126.09,0.52808,-2.20068565383965,0.426737596055039,-0.311068337368441,2.763,190.43
"1963","P8",23,-126.09,0.52808,-2.20068565383965,0.426737596055039,-0.311068337368441,2.6339,103.52
"1964","P8",23,-126.09,0.52808,-2.20068565383965,0.426737596055039,-0.311068337368441,2.8828,513.67
"1965","P8",23,-126.09,0.52808,-2.20068565383965,0.426737596055039,-0.311068337368441,3.0362,512.7
"1966","P8",23,-126.09,0.52808,-2.20068565383965,0.426737596055039,-0.311068337368441,2.4677,347.66
"1967","P8",23,-126.09,0.52808,-2.20068565383965,0.426737596055039,-0.311068337368441,3.0506,406.25
"1968","P8",23,-126.09,0.52808,-2.20068565383965,0.426737596055039,-0.311068337368441,2.6443,117.19
"1969","P8",23,-126.09,0.52808,-2.20068565383965,0.426737596055039,-0.311068337368441,2.0214,178.71
"1970","P8",23,-126.09,0.52808,-2.20068565383965,0.426737596055039,-0.311068337368441,2.6037,-98.633
"1971","P8",23,-126.09,0.52808,-2.20068565383965,0.426737596055039,-0.311068337368441,3.4606,572.27
"1972","P8",23,-126.09,0.52808,-2.20068565383965,0.426737596055039,-0.311068337368441,2.0554,389.65
"1973","P8",23,-126.09,0.52808,-2.20068565383965,0.426737596055039,-0.311068337368441,2.9138,27.344
"1974","P8",23,-126.09,0.52808,-2.20068565383965,0.426737596055039,-0.311068337368441,2.5483,230.47
"1975","P8",23,-126.09,0.52808,-2.20068565383965,0.426737596055039,-0.311068337368441,2.2784,26.367
"1976","P8",23,-126.09,0.52808,-2.20068565383965,0.426737596055039,-0.311068337368441,3.3714,43.945
"1977","P8",23,-126.09,0.52808,-2.20068565383965,0.426737596055039,-0.311068337368441,2.7224,316.41
"1978","P8",23,-126.09,0.52808,-2.20068565383965,0.426737596055039,-0.311068337368441,2.6027,110.35
"1979","P8",23,-126.09,0.52808,-2.20068565383965,0.426737596055039,-0.311068337368441,2.4405,60.547
"1980","P8",23,-126.09,0.52808,-2.20068565383965,0.426737596055039,-0.311068337368441,2.4275,-80.078
"1981","P8",23,-126.09,0.52808,-2.20068565383965,0.426737596055039,-0.311068337368441,1.0798,21.484
"1982","P8",23,-126.09,0.52808,-2.20068565383965,0.426737596055039,-0.311068337368441,1.6237,348.63
"1983","P8",23,-126.09,0.52808,-2.20068565383965,0.426737596055039,-0.311068337368441,2.0255,77.148
"1984","P8",23,-126.09,0.52808,-2.20068565383965,0.426737596055039,-0.311068337368441,2.4621,429.69
"1985","P8",23,-126.09,0.52808,-2.20068565383965,0.426737596055039,-0.311068337368441,3.3431,193.36
"1986","P8",23,-126.09,0.52808,-2.20068565383965,0.426737596055039,-0.311068337368441,2.0146,312.5
"1987","P8",23,-126.09,0.52808,-2.20068565383965,0.426737596055039,-0.311068337368441,1.8165,558.59
"1988","P8",23,-126.09,0.52808,-2.20068565383965,0.426737596055039,-0.311068337368441,1.564,471.68
"1989","P3",21,-140.05,0.34459,-2.44433361741806,-0.221267739734655,-0.264164447745561,2.6152,483.4
"1990","P3",21,-140.05,0.34459,-2.44433361741806,-0.221267739734655,-0.264164447745561,3.1518,147.46
"1991","P3",21,-140.05,0.34459,-2.44433361741806,-0.221267739734655,-0.264164447745561,1.7454,92.773
"1992","P3",21,-140.05,0.34459,-2.44433361741806,-0.221267739734655,-0.264164447745561,2.4389,398.44
"1993","P3",21,-140.05,0.34459,-2.44433361741806,-0.221267739734655,-0.264164447745561,2.2641,-136.72
"1994","P3",21,-140.05,0.34459,-2.44433361741806,-0.221267739734655,-0.264164447745561,2.8981,-174.8
"1995","P3",21,-140.05,0.34459,-2.44433361741806,-0.221267739734655,-0.264164447745561,1.7807,169.92
"1996","P3",21,-140.05,0.34459,-2.44433361741806,-0.221267739734655,-0.264164447745561,1.0275,-66.406
"1997","P3",21,-140.05,0.34459,-2.44433361741806,-0.221267739734655,-0.264164447745561,2.3091,108.4
"1998","P3",21,-140.05,0.34459,-2.44433361741806,-0.221267739734655,-0.264164447745561,2.5799,421.88
"1999","P3",21,-140.05,0.34459,-2.44433361741806,-0.221267739734655,-0.264164447745561,1.9204,-107.42
"2000","P3",21,-140.05,0.34459,-2.444334,-0.2212677,-0.2641644,2.5941,560.55
"2001","P3",21,-140.05,0.34459,-2.444334,-0.2212677,-0.2641644,2.2845,-116.21
"2002","P3",21,-140.05,0.34459,-2.444334,-0.2212677,-0.2641644,1.9696,225.59
"2003","P3",21,-140.05,0.34459,-2.444334,-0.2212677,-0.2641644,2.2566,436.52
"2004","P3",21,-140.05,0.34459,-2.444334,-0.2212677,-0.2641644,2.4412,293.95
"2005","P3",21,-140.05,0.34459,-2.444334,-0.2212677,-0.2641644,2.9777,-182.62
"2006","P3",21,-140.05,0.34459,-2.444334,-0.2212677,-0.2641644,2.4921,41.992
"2007","P3",21,-140.05,0.34459,-2.444334,-0.2212677,-0.2641644,1.2996,318.36
"2008","P3",21,-140.05,0.34459,-2.444334,-0.2212677,-0.2641644,1.9191,526.37
"2009","P3",21,-140.05,0.34459,-2.444334,-0.2212677,-0.2641644,1.1756,422.85
"2010","P3",21,-140.05,0.34459,-2.444334,-0.2212677,-0.2641644,3.5219,-127.93
"2011","P3",21,-140.05,0.34459,-2.444334,-0.2212677,-0.2641644,2.5492,-188.48
"2012","P3",21,-140.05,0.34459,-2.444334,-0.2212677,-0.2641644,2.5872,-198.24
"2013","P3",21,-140.05,0.34459,-2.444334,-0.2212677,-0.2641644,2.3188,460.94
"2014","P3",21,-140.05,0.34459,-2.444334,-0.2212677,-0.2641644,2.9296,121.09
"2015","P3",21,-140.05,0.34459,-2.444334,-0.2212677,-0.2641644,2.644,31.25
"2016","P3",21,-140.05,0.34459,-2.444334,-0.2212677,-0.2641644,1.9799,-12.695
